plant_type_Flower Plant,plant_type_Herb,plant_type_Indoor Plant,plant_type_Leafy Ornamental,plant_type_Succulent,plant_type_Vegetable Plant,location_Balcony,location_Indoor,location_Outdoor Garden,location_Rooftop,soil_type_Clay,soil_type_Loamy,soil_type_Potting Mix,soil_type_Sandy,sunlight,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.9257720704175075,-1.2371305793867116,0.9552906889347306,-1.3139587924710787,Nitrogen Rich
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.6627028055964337,-1.4058064358869382,-0.9826035990166814,-0.9019733851327392,Nitrogen Rich
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6047763795694931,0.7869796986160067,0.214331108247426,-0.352659508681619,Compost
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.18884133523858124,-0.50620186788573,-0.75461603572828,-1.176630323358298,Nitrogen Rich
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.4722762333843221,1.3492325536167618,-0.46963158161777824,0.33398283688228053,Balanced NPK
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.435954887079841,0.28095212911532713,-0.6976191449061796,1.1579536515589595,Nitrogen Rich
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4926418667089894,-1.5744822923871646,0.6703062348242288,-0.9019733851327392,Nitrogen Rich
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.755711131530063,-0.056399583885125934,0.5563124531800281,1.1579536515589595,Balanced NPK
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.755711131530063,0.7869796986160067,1.6392533787999348,0.6086397751078406,Bone Meal
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0754673759802849,-0.3375260113855035,-0.75461603572828,1.7072675280100797,Liquid Fertilizer
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9257720704175075,1.2367819826166107,-1.6095693980597852,1.02062518244618,Nitrogen Rich
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.4550810740067157,0.8432049841160822,-0.5836253632619789,-1.0393018542455186,Nitrogen Rich
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8123981111592111,-1.2371305793867116,-0.8686098173724807,0.8832967133334007,Phosphorus Rich
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3022152944968776,-0.39375129688557897,-0.925606708194581,1.7072675280100797,Balanced NPK
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.2092069685632483,0.5620785566157046,-1.1535942714829825,1.02062518244618,Nitrogen Rich
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.0754673759802849,0.1685015581151761,-0.8116129265503803,1.5699390588973003,Nitrogen Rich
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5289632130134703,-1.293355864886787,-0.6976191449061796,-0.2153310395688396,Phosphorus Rich
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0015852369735303,-1.0684547228864851,0.1003373266032253,1.4326105897845196,Phosphorus Rich
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4155892537551739,1.0118808406163087,-1.1535942714829825,0.059325898656720485,Balanced NPK
