plant_type,location,sunlight,soil_type,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
Leafy Ornamental,Indoor,Low,Clay,Low,34,28,67,5.3,Nitrogen Rich
Leafy Ornamental,Indoor,High,Potting Mix,Low,21,25,33,5.6,Nitrogen Rich
Succulent,Indoor,High,Loamy,High,61,64,54,6.0,Compost
Herb,Balcony,Low,Loamy,High,47,41,37,5.4,Nitrogen Rich
Vegetable Plant,Indoor,Low,Potting Mix,Low,42,74,42,6.5,Balanced NPK
Indoor Plant,Outdoor Garden,High,Sandy,Medium,25,55,38,7.1,Nitrogen Rich
Succulent,Balcony,High,Loamy,High,24,22,62,5.6,Nitrogen Rich
Vegetable Plant,Indoor,Low,Sandy,Medium,37,49,60,7.1,Balanced NPK
Flower Plant,Balcony,Medium,Loamy,High,37,64,79,6.7,Bone Meal
Indoor Plant,Rooftop,High,Loamy,Low,49,44,37,7.5,Liquid Fertilizer
Leafy Ornamental,Rooftop,High,Clay,Low,34,72,22,7.0,Nitrogen Rich
Herb,Balcony,Low,Loamy,High,76,65,40,5.5,Nitrogen Rich
Herb,Outdoor Garden,High,Potting Mix,Low,36,28,35,6.9,Phosphorus Rich
Succulent,Balcony,High,Potting Mix,High,45,43,34,7.5,Balanced NPK
Flower Plant,Outdoor Garden,Low,Sandy,Low,29,60,30,7.0,Nitrogen Rich
Herb,Indoor,Medium,Potting Mix,High,49,53,36,7.4,Nitrogen Rich
Indoor Plant,Indoor,High,Clay,High,41,27,38,6.1,Phosphorus Rich
Herb,Indoor,High,Clay,High,68,31,52,7.3,Phosphorus Rich
Leafy Ornamental,Balcony,High,Loamy,Low,43,68,30,6.3,Balanced NPK
Succulent,Indoor,High,Clay,Medium,21,27,79,5.9,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Loamy,High,80,25,25,6.8,Phosphorus Rich
Indoor Plant,Rooftop,Low,Potting Mix,High,30,36,53,7.2,Nitrogen Rich
Herb,Rooftop,High,Loamy,High,39,45,62,6.6,Nitrogen Rich
Herb,Outdoor Garden,Low,Loamy,Low,24,41,21,6.5,Nitrogen Rich
Flower Plant,Rooftop,Low,Sandy,High,60,23,34,5.2,Phosphorus Rich
Indoor Plant,Balcony,Low,Loamy,Medium,62,51,33,6.3,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,32,26,26,6.6,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Medium,Potting Mix,High,23,63,61,7.5,Nitrogen Rich
Indoor Plant,Indoor,Medium,Clay,Low,35,32,32,6.3,Phosphorus Rich
Flower Plant,Outdoor Garden,Low,Clay,Medium,35,75,79,5.2,Bone Meal
Succulent,Indoor,Low,Sandy,Low,79,68,74,5.6,Compost
Herb,Outdoor Garden,Medium,Loamy,Medium,77,23,30,5.9,Phosphorus Rich
